원단구분,용도,혼용율,구성원사/번수,밀도,조직,후가공,상품명,단위면적당 무게,두께
KNIT,Outer,,,,,,,28.737,1.01
KNIT,Top,,,,,,,15.909,0.7
KNIT,Top,,,,,,,20.505,0.7
KNIT,Active,,,,,,,19.192,0.72
KNIT,Top,,,,,,,13.737,0.51
WOVEN,Outer,"POLYESTER 91%, POLYURETHANE 9%",,,,,CYSFJ-079,15.051,0.39
WOVEN,Outer,"NYLON 77%, POLYURETHANE 23%",,,,,CYSLS-1026,25.455,0.61
WOVEN,Outer,"POLYESTER 97%, POLYURETHANE 3%",,,,,CYSSC-3111,34.646,0.89
WOVEN,Outer,"NYLON 62%, B 17%, POLYURETHANE 8%",,144*145,,,CYSZD-097,28.99,0.84
WOVEN,Outer,"POLYESTER 97%, POLYURETHANE 3%",,,,,CYSZD-0341_b,16.212,0.44
WOVEN,Outer,"COTTON 97%, POLYURETHANE 3%",,190*90,,,CYSZD-0465,18.687,0.6
WOVEN,Outer,"COTTON 97%, POLYURETHANE 3%",,250*110,,,CYSLJ-1101,25.455,0.53
WOVEN,Outer,"COTTON 97%, POLYURETHANE 3%",,264*117,,,CYSLJ-1086_g,16.667,0.36
WOVEN,Outer,"COTTON 97%, POLYURETHANE 3%",, 250*110,,,CYSLJ-0153,21.97,0.42
WOVEN,Outer,"NYLON 77%, POLYESTER 15%, POLYURETHANE 8%",N70D+NP70D+SP70D,,,,CYSLJ-1086_b,14.444,0.33
WOVEN,Outer,NYLON 100%,N70D*N70D,,,,CYSFY-190018,25.909,0.95
WOVEN,Outer,"NYLON 96%, POLYURETHANE 4%",,,,,CYS09,7.929,0.2
WOVEN,Outer,NYLON 100%,N75D*N100D,,,,CYS25,18.283,0.48
WOVEN,Outer,"COTTON 68%, POLYESTER 32%",C/N80'S 고신축,,,"PD, 유연, TB",CYS30,12.475,0.28
